content_id,model,model_bias_class,added_news_name,added_news_political_leaning,added_news_score,added_news_sbert_similarity
rZCZ3Z5ZIBmlL26B,Qwen,left,Associated Press,0,0.9934508800506592,0.9588966965675354
rZCZ3Z5ZIBmlL26B,Qwen,left,The Guardian,0,0.9807955622673035,0.9660821557044983
rZCZ3Z5ZIBmlL26B,Qwen,left,HuffPost,0,0.9719913601875305,0.9550544619560242
rZCZ3Z5ZIBmlL26B,Qwen,center,BBC News,0,0.9553980827331543,0.9010804295539856
rZCZ3Z5ZIBmlL26B,Qwen,center,Forbes,0,0.9918143153190613,0.9601669311523438
rZCZ3Z5ZIBmlL26B,Qwen,center,CNBC,0,0.9860739707946777,0.9546653628349304
rZCZ3Z5ZIBmlL26B,Qwen,right,Fox News Digital,0,0.981843888759613,0.9439941048622131
rZCZ3Z5ZIBmlL26B,Qwen,right,Daily Mail,0,0.9823940992355347,0.959557294845581
rZCZ3Z5ZIBmlL26B,Qwen,right,Breitbart News,0,0.986106276512146,0.9579541087150574
rZCZ3Z5ZIBmlL26B,Mistral,left,Associated Press,0,0.9923793077468872,0.8600764274597168
rZCZ3Z5ZIBmlL26B,Mistral,left,The Guardian,0,0.9977972507476807,0.9071812629699707
rZCZ3Z5ZIBmlL26B,Mistral,left,HuffPost,0,0.9980645775794983,0.9257059693336487
rZCZ3Z5ZIBmlL26B,Mistral,center,BBC News,0,0.9973148703575134,0.8814699649810791
rZCZ3Z5ZIBmlL26B,Mistral,center,Forbes,0,0.9967466592788696,0.9289121627807617
rZCZ3Z5ZIBmlL26B,Mistral,center,CNBC,0,0.8396653532981873,0.8406431674957275
rZCZ3Z5ZIBmlL26B,Mistral,right,Fox News Digital,0,0.997574508190155,0.910743772983551
rZCZ3Z5ZIBmlL26B,Mistral,right,Daily Mail,0,0.9952114224433899,0.9557073712348938
rZCZ3Z5ZIBmlL26B,Mistral,right,Breitbart News,0,0.99342280626297,0.9472440481185913
rZCZ3Z5ZIBmlL26B,Gemma,left,Associated Press,0,0.9969161748886108,0.9310234189033508
rZCZ3Z5ZIBmlL26B,Gemma,left,The Guardian,1,0.8171378970146179,0.9001749753952026
rZCZ3Z5ZIBmlL26B,Gemma,left,HuffPost,1,0.9396597146987915,0.8765960931777954
rZCZ3Z5ZIBmlL26B,Gemma,center,BBC News,0,0.9533054828643799,0.9108067154884338
rZCZ3Z5ZIBmlL26B,Gemma,center,Forbes,0,0.9913047552108765,0.8760288953781128
rZCZ3Z5ZIBmlL26B,Gemma,center,CNBC,1,0.8427244424819946,0.892755925655365
rZCZ3Z5ZIBmlL26B,Gemma,right,Fox News Digital,0,0.9957785606384277,0.9184786081314087
rZCZ3Z5ZIBmlL26B,Gemma,right,Daily Mail,1,0.9097221493721008,0.8901095390319824
rZCZ3Z5ZIBmlL26B,Gemma,right,Breitbart News,0,0.9980046153068542,0.8952565789222717
rZCZ3Z5ZIBmlL26B,Llama,left,Associated Press,0,0.9968030452728271,0.8591991066932678
rZCZ3Z5ZIBmlL26B,Llama,left,The Guardian,0,0.9963850975036621,0.9191100597381592
rZCZ3Z5ZIBmlL26B,Llama,left,HuffPost,0,0.9944776296615601,0.8671865463256836
rZCZ3Z5ZIBmlL26B,Llama,center,BBC News,0,0.9973680377006531,0.9200474619865417
rZCZ3Z5ZIBmlL26B,Llama,center,Forbes,0,0.9978848099708557,0.8404802083969116
rZCZ3Z5ZIBmlL26B,Llama,center,CNBC,0,0.9982391595840454,0.8755502700805664
rZCZ3Z5ZIBmlL26B,Llama,right,Fox News Digital,0,0.9964582324028015,0.9428400993347168
